demo_name,gold_sop,0_rubric_eval_explanation,0_rubric_eval_score,1_rubric_eval_explanation,1_rubric_eval_score,rubric
116 @ 2024-01-16-09-09-51,"Show me the name of the customers who have expressed dissatisfaction with tanks products?
1. Click on the Marketing Section, it can be identified with the label “MARKETING” within the far left sidebar. It has an icon that looks like a megaphone.
2. Click on the link labeled “All Reviews” that will appear in a popup menu adjacent to the sidebar. Within this menu, identify the section titled “User Content” which is highlighted in bold to denote its significance. Below this heading, you will find a link labeled “All Reviews”. Clicking on this link will navigate to the page where customer reviews are aggregated.
3. Click on the a search box positioned directly below the column heading labeled “Product”. This box is intended for entering search terms to filter the reviews displayed on the page.
4. Type in the keyword “tank” to search for reviews related to tanks products. Ensure the search term is entered correctly to retrieve accurate results. Press enter to execute the search.
5. Upon executing the search, note the number of results displayed above the “Created” column heading. If there are more reviews than can be comfortably viewed on one page, increase the number of visible reviews. Locate the dropdown button labeled “items per page” situated above the “Review” column on the right side of the review table. Click on this button to reveal dropdown options for the number of items to display per page.
6. Scroll through the product review table, examining each row for indications of customer dissatisfaction. The table is organized into columns, with each row representing an individual review. To find customers who have expressed dissatisfaction, focus on the “Nickname” column for customer names and the “Title” and “Review” columns for the content of their feedback. Look for keywords or phrases within the title and review text that indicate a negative experience, such as ""disappointed,"" ""unsatisfied,"" or ""problem."" The presence of such terms suggests the customer's dissatisfaction with the product. As you identify reviews expressing dissatisfaction, note the customer names listed in the “Nickname” column associated with those reviews.","Element Specification: The SOP provides clear descriptions and locations for each UI element (1). Action Type: The SOP uses appropriate action verbs such as Click, Type, Press, Scroll, and Select, which are all valid according to the rubric (1). Edge Case Coverage: The SOP addresses an edge case by instructing how to handle a scenario where there are more results than can be displayed on one page, suggesting changing the number of items per page (1). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirements (1). Action Relevance: All actions are relevant to the task of finding dissatisfied customers for tank products (1). Generality: The SOP is general enough, not overfitting to specific screen sizes or configurations, and provides instructions that should be applicable in various settings (1).",5.0,,,{'0': 5.0}
117 @ 2023-12-31-23-34-18,"What is the date when I made my first purchase on this site?
1. Click on the ""My Account"" option located in the top navigation bar of the website. If it is not visible at first, scroll to the very top of the page.
2. Click on the ""My Orders"" tab in the left sidebar in the ""My Account"" dashboard. This tab is specifically dedicated to viewing past and current orders, thus being our next step towards identifying the first purchase date.
3. Click on the highest-numbered page link within the pagination controls to navigate to the first purchase page. This action may require scrolling past the initial visible set of page numbers to the right, using the "">"" (next) button if your order history spans many pages. If the pagination controls display numbers without a direct link to the last page, repeatedly click on the "">"" button until you reach the last available page number, which contains your oldest orders. This step ensures you're viewing the earliest segment of your purchase history. Within the earliest page, locate the final row in the order list. This row represents the earliest purchase made on the account. The order list is typically organized with the most recent purchase at the top of the first page and the oldest at the bottom of the last page. The ""Date"" column within this row will display the date of your first purchase.","Element Specification: The SOP provides specific locations and descriptions for UI elements such as 'blue ""My Account"" button on the top right of the screen' and 'left gray sidebar', which are clear and descriptive. Score: 1. Action Type: The SOP uses appropriate action verbs like 'Click' and 'Look', which are within the allowed actions. Score: 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'My Orders' section is not visible or if there are no orders listed. Score: 0. Discrete Action: Each step in the SOP contains only one discrete action, which is good practice. Score: 1. Action Relevance: All actions are relevant to the task of finding the date of the first purchase. Score: 1. Generality: The SOP assumes that the last page always contains the first purchase, which may not be true if the sorting order is different or if the user has a different number of orders per page. This reduces the generality of the SOP. Score: 0.",3.3,"Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'My Account link located in the header navigation menu at the top right of the screen' (1). Action Type: The SOP uses appropriate action verbs like Click and Scroll, which are specified in the rubric (1). Edge Case Coverage: The SOP addresses potential edge cases, such as what to do if pagination controls are not visible or if the last page number is not immediately visible (1). Discrete Action: Each step in the SOP contains only one discrete action, ensuring clarity and simplicity in following the instructions (1). Action Relevance: All actions are relevant to the task of navigating through the account and orders to find the date of the first purchase (1). Generality: The SOP is general enough to apply in various scenarios without being overly specific to certain screen sizes or configurations (1).",5.0,"{'0': 3.3, '1': 5.0}"
216 @ 2023-12-31-16-12-31,"What are the key aspects that the customers don't like about Electra Bra Top?
1. Click the ""Marketing"" on the left of the screen in the gray/brown sidebar
2. Click ""All Reviews"" in the sidebar popout under ""User Content""
3. Click the empty text box under the ""Product"" column
4. Type in the keyword ""electra""
5. Press enter 
6. Look at the text of the reviews under the ""Review"" 
7. Identify key aspects that the customers don't like","Element Specification: The SOP provides clear descriptions and locations for UI elements such as the 'Marketing' icon and 'All Reviews' in the submenu, scoring 1. Action Type: The SOP uses appropriate action verbs like Click, Type, and Press, which are within the specified action types, scoring 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'Electra' product does not appear or if the reviews are not visible, scoring 0. Discrete Action: Each step in the SOP contains only one discrete action, which aligns with the rubric requirements, scoring 1. Action Relevance: All actions are relevant to the task of finding customer reviews for a specific product, scoring 1. Generality: The SOP is somewhat general but does not specify actions for varying screen sizes or potential differences in layout, scoring 0.",4.0,"Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'MARKETING button located in the sidebar on the left side of the screen' and 'All Reviews link under the User Content section'. Score: 1. Action Type: The SOP uses appropriate action verbs like Click, Type, and Press, which are all valid according to the rubric. Score: 1. Edge Case Coverage: The SOP addresses potential visibility issues by instructing to 'scroll down the menu if the link is not visible' and 'scroll horizontally to the right if the column is not visible'. Score: 1. Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirements. Score: 1. Action Relevance: All actions are relevant to the task of finding and entering a specific product name ('electra') in a review search. Score: 1. Generality: The SOP is general enough, instructing users to handle visibility issues through scrolling without specifying exact measurements, which makes it adaptable to different screen sizes or window configurations. Score: 1. Overall, the SOP meets all the criteria of the rubric effectively.",5.0,"{'0': 4.0, '1': 5.0}"
127 @ 2024-01-08-19-59-09,"What brands appear most frequently among the top search terms?
1. Click on the ""Reports"" button on the far left-hand sidebar of the website's homepage. This button has an icon resembling a chart or graph. It can be found positioned above the ""Stores"" button and below the ""Content"" button.
2. Click on ""Search Terms"" in the ""Marketing"" subsection of the popout sidebar.
3. Click on the ""Hits"" column heading to sort the search terms by their hit count. If the list does not immediately sort in descending order (showing the highest numbers first), click the ""Hits"" column heading again. Sorting by hits allows us to identify the most popular search terms first. Examine the sorted table for brand names that appear among the top search terms. Given that the table is now sorted by hit count, the most frequently appearing brands should be among the first few entries. You might need to scroll through the first page of results or navigate through multiple pages of the table if the website paginates search term results. Identifying brand names within the list of search terms, may require some judgment to distinguish between generic terms and specific brand names.","Element Specification: The SOP provides names and locations for UI elements such as 'REPORTS' in the left sidebar and 'Search Terms' under 'Marketing', which are adequately descriptive. Score: 1. Action Type: The SOP uses appropriate action verbs like 'Click' and 'Report', which are valid according to the rubric. Score: 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'Hits' column is not initially visible or if the table does not load. Score: 0. Discrete Action: The SOP mostly adheres to one action per step, except for step 4, which combines observing and reporting into one step without clear instructions on how to identify brands. Score: 0. Action Relevance: The actions are relevant to the task of identifying frequently appearing brands in search terms, but step 4 lacks specificity on how to extract brand information from the table. Score: 0. Generality: The SOP is general enough and does not overfit to specific screen sizes or configurations. Score: 1. Overall, while the SOP starts strong with clear element specifications and action types, it falls short in addressing edge cases, providing discrete actions, and ensuring action relevance, particularly in the final step.",2.0,"Element Specification: The SOP provides clear descriptions and locations for each UI element (1). Action Type: The SOP uses appropriate action verbs such as 'Click' which are allowed by the rubric (1). Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'Reports' menu is not visible or if the 'Hits' column does not sort correctly on the first click (0). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirements (1). Action Relevance: All actions are relevant to the task of sorting data in the 'Search Terms Report' (1). Generality: The SOP is general enough and does not overfit to specific screen sizes or window configurations (1).",4.2,"{'0': 2.0, '1': 4.2}"
45 @ 2024-01-08-14-51-24,"Check out the most recent open issues.

1. From the left sidebar, click the fourth tab from the top, which is labeled ""Issues"". It has a symbol of a card and a card behind it slightly rotated to the right. The tab is above the ""Merge requests"" tab and below the ""Repository"" tab.
2. At the right of the screen, there is a dropdown menu below the white ""Edit issues"" and blue ""New issue"" buttons. It is at the right of the button with a magnifying glass in it. Click on that dropdown menu.
3. From the revealed menu, click on the ""Created date"" option. It is the second option, below the ""Priority"" option. This will sort the issues by creation date in descending order, so the newest issues appear at the top of the screen.
4. Check out the most recent open issues. Now that the issues are ordered by creation date, the first entries are the newest open issues.
","Element Specification: The SOP provides clear locations for each UI element such as 'Issues' in the left sidebar and 'Created date' dropdown button on the top right, scoring 1. Action Type: The SOP uses appropriate action verbs like 'Click', which are allowed in the rubric, scoring 1. Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'Issues' button or 'Created date' dropdown is not visible, scoring 0. Discrete Action: Each step in the SOP contains only one action, adhering to the requirement for discrete actions per step, scoring 1. Action Relevance: All actions are relevant to the task of checking the most recent open issues, scoring 1. Generality: The SOP is general enough and does not overfit to specific screen sizes or window configurations, scoring 1.",4.2,"Element Specification: Each element in the SOP is well specified with descriptive names and locations, such as 'Issues link in the left sidebar navigation menu' and 'sort dropdown button in the toolbar above the issues list'. Score: 1. Action Type: The SOP uses appropriate action verbs like 'Click', which are allowed as per the rubric. Score: 1. Edge Case Coverage: The SOP addresses potential visibility issues of UI elements and changes in labels, providing solutions like ensuring the sidebar is expanded or clicking the button to reveal sorting options. Score: 1. Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirement. Score: 1. Action Relevance: All actions are relevant to the task of sorting issues by 'Created date', directly contributing to achieving the task's goal. Score: 1. Generality: The SOP is general enough, not overfitting to specific screen sizes or window configurations, and provides instructions that should work in various setups. Score: 1. Overall, the SOP meets all the criteria of the rubric effectively.",5.0,"{'0': 4.2, '1': 5.0}"
171 @ 2023-12-31-01-42-52,"Tell me the full names of the repositories where I made contributions and they got less than 5 stars?
1. Click the dropdown on the right of the ""Filter By Name"" box, on the filter menu under the top bar
2. Click ""Most Stars"" under the ""Sort By"" sub-menu.
3. Scroll down
4. Click the ""Next"" button at the bottom of the list 
5. Stop when the end of the list is displayed.
6. From the displayed information, report the full names of the repositories where I made contributions and they got less than 5 stars. ","Element Specification: The SOP provides some location details such as 'filter menu under the top bar' and 'dropdown on the right of the ""Filter By Name"" box', which are somewhat descriptive but could be more precise. Score: 0.5. Action Type: The SOP uses appropriate action verbs like 'click', 'scroll', and 'report', which are all valid according to the rubric. Score: 1. Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'Next' button is not visible or if the repositories are not loading. Score: 0. Discrete Action: The SOP mostly adheres to one action per step, except for step 4, which combines identifying and reporting information in one step. Score: 0.5. Action Relevance: The actions are relevant to the task of finding repositories with less than 5 stars where contributions were made, but the steps do not explicitly guide the user on how to filter or identify contributions made by the user specifically. Score: 0.5. Generality: The SOP does not overfit to a specific screen size or layout, but it lacks instructions that could apply more generally, such as how to handle different pagination or sorting options. Score: 0.5. Overall, the SOP has some strengths in action type and partial adherence to element specification and discrete action, but it falls short in edge case coverage, action relevance, and generality.",2.5,"Element Specification: The SOP provides specific locations for UI elements such as 'sort dropdown menu located to the right of the ""Filter by name"" text field' and 'Next button in the pagination controls at the bottom of the page', scoring 1. Action Type: The SOP uses valid UI actions like Click and Scroll, scoring 1. Edge Case Coverage: The SOP addresses the potential issue of pagination with instructions to click the 'Next' button if visible, scoring 1. Discrete Action: Each step in the SOP contains only one action, adhering to the rule of discrete actions, scoring 1. Action Relevance: All actions are relevant to the task of sorting and identifying repositories by star count, scoring 1. Generality: The SOP is general enough, not overfitting to specific screen sizes or configurations, scoring 1. Based on the rubric, the SOP scores well in all categories.",5.0,"{'0': 2.5, '1': 5.0}"
79 @ 2023-12-27-22-50-34,"What is the total count of Not Approved reviews amongst all the reviews?

1. Click on the “MARKETING” button in the dark gray column on the left hand side of the page. The button has a megaphone in it and is between the ""CUSTOMERS"" and ""CONTENT"" buttons.
2. Click on “All Reviews” in the pop up menu, located under the heading “User Content”. This option is in the second column on the menu displayed.
3. Click on the dropdown menu located directly under the column heading “Status”. This column is the fourth from the left and is left to the ""Title"" column.
4. Click on the “Not Approved” option in the pop up menu. This is the last option in the menu.
5. Click on the dark gray ""Search"" button at the left of the screen. This button is placed above the ""Actions"" dropdown menu, and has a blue link at the right with the text ""Reset Filter"".
6. The number of Not Approved reviews is the number of records found, which is located directly above the third column of table, the one with heading “Created”. The text you are looking for has the format ""X records found"", where X is the number of reviews found which were not approved.","Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'Marketing' icon on the left and 'All Reviews' under the 'User Content' section (1). Action Type: The SOP uses appropriate action verbs like 'Click' consistently throughout the steps (1). Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'Status' dropdown does not load or if the 'Not Approved' option is not visible (0). Discrete Action: Each step in the SOP contains only one discrete action, which aligns well with the rubric (1). Action Relevance: All actions are relevant to the task of finding the total count of Not Approved reviews (1). Generality: The SOP is general enough and does not overfit to specific screen sizes or window configurations, though it could improve by suggesting general troubleshooting steps like refreshing the page if elements do not appear as expected (0).",4.0,"Element Specification: The SOP provides clear descriptions and locations for each UI element (1). Action Type: The SOP uses appropriate action verbs such as 'Click' consistently (1). Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'Not Approved' option is not visible (0). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric requirements (1). Action Relevance: All actions are relevant to the task of filtering reviews by 'Not Approved' status (1). Generality: The SOP is general enough and does not overfit to specific screen sizes or window configurations (1).",4.2,"{'0': 4.0, '1': 4.2}"
205 @ 2023-12-30-13-02-59,"How many commits did kilian make on 3/5/2023?
1. Click on the ""Commits"" button just underneath the project title.
2. Given the information, state how many commits kilian made on 3/5/2023.","The SOP provided is evaluated as follows based on the rubric criteria: Element Specification: The SOP specifies the 'Commits' button with a relative location, which is good, but does not describe any icon or further details to ensure the user finds the right button (0.5). Action Type: The actions used ('Click' and 'state') are appropriate, but 'state' is not one of the specified action types in the rubric (0). Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the commits are not visible or if the date filter is needed (0). Discrete Action: The SOP contains discrete actions in each step, which is correct (1). Action Relevance: The actions are relevant to the task of finding the number of commits by a specific user on a specific date, although it lacks the detail on how to filter or find the specific commits by 'kilian' or by date (0.5). Generality: The SOP does not specify actions that might depend on screen size or specific UI layout beyond basic navigation, which is good (1). Overall, the SOP lacks detailed guidance, edge case handling, and complete adherence to the action types specified in the rubric.",2.0,"Element Specification: The SOP provides specific locations and descriptions for UI elements, such as 'link displaying the number of commits' and 'project title a11yproject.com in the project header section' (Score: 1). Action Type: The SOP uses appropriate action verbs like 'Click' and 'Scroll' which are within the allowed actions (Score: 1). Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the commits link is not visible or if the list does not initially display the desired date (Score: 0). Discrete Action: Each step in the SOP contains only one action, adhering to the requirement for discrete actions per step (Score: 1). Action Relevance: The actions are relevant to the task of navigating through commits on a project page (Score: 1). Generality: The SOP is somewhat general but does not specify actions for varying screen sizes or potential differences in layout that might affect visibility; it assumes visibility of elements without scrolling adjustments beyond the specified (Score: 0).",3.3,"{'0': 2.0, '1': 3.3}"
131 @ 2024-01-13-06-11-26,"What's the total number of items sold in the most recent 7 orders?
1. Click on the ""REPORTS"" Button located in the dark gray left-hand sidebar of the webpage. It can be identified with an icon that looks like a chart or bar graph.
2. Click on ""Orders"" in the ""Sales"" subsection of the pop up menu that appears from the sidebar. The ""Sales"" heading is typically found near the top of the list, making ""Orders"" one of the first few options.
3. Click on the ""From"" text field in the Orders Report filtering settings.  This field is for entering the start date from which you want to begin counting orders. Before typing in the date, ensure the field is empty by clicking inside it and pressing the ""Delete"" key if any pre-existing date is displayed.
4. Enter the Start Date for our search, in this case type in ""1/1/23"" as the start date in the ""From"" text field. This action sets the beginning of the date range for the orders you wish to analyze.
5. Click the ""To"" field directly below the ""From"" text field This field is designated for entering the end date of your order count period. Ensure this field is also empty before proceeding by clicking inside it and clearing any pre-existing date.
6. Type in the current date in the ""To"" text field. This step finalizes the date range for your report, ensuring it includes the most recent orders up to the current day.
7. Click the ""Show Report"" button in the top right of the page. If the button is not immediately visible, scroll up to bring it into view.
8. Scroll through the generated report. This table displays various details about the orders placed within your specified date range. If the entire table is not visible, continue to scroll down to ensure all columns and rows can be seen. In the report table, locate the column labeled ""Sales Items,"" which is typically the third column from the left. Starting from the bottom of this column, count the numbers listed in the rows for the 7 most recent orders (these will be the rows closest to the bottom of the table, excluding the very last row if it serves as a summary or total row). Add these numbers together to obtain the total number of items sold in the most recent 7 orders.","Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'REPORTS' button in the dark gray column and 'From' text field on the left side of the page (1). Action Type: The SOP uses appropriate action verbs like Click, Type, and Scroll, which are all valid according to the rubric (1). Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'REPORTS' button is not visible or if the date fields are pre-populated (0). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirements (1). Action Relevance: All actions are relevant to the task of finding the total number of items sold in the most recent orders, such as typing specific dates and clicking 'Show Report' (1). Generality: The SOP is generally applicable and does not overfit to specific screen sizes or configurations, though it could improve by specifying more generally how to find the current date instead of assuming the user knows how to input it (0).",4.0,"Element Specification: Each UI element is well-described with its location and label, earning a score of 1. Action Type: The SOP uses appropriate action verbs like 'Click', 'Type', and 'Scroll', which are all valid according to the rubric, earning a score of 1. Edge Case Coverage: The SOP addresses multiple potential issues such as menu closure, data not refreshing, and empty tables, providing solutions for each, earning a score of 1. Discrete Action: Each step in the SOP contains only one action, adhering to the requirement for discrete actions, earning a score of 1. Action Relevance: All actions are relevant to accomplishing the task of generating and analyzing the report, earning a score of 1. Generality: The SOP is general enough to apply in various scenarios without being overly specific to screen size or layout, earning a score of 1.",5.0,"{'0': 4.0, '1': 5.0}"
143 @ 2024-01-08-01-57-37,"How much I spent on home decoration shopping during 1/29/2023
1. Click ""My Account"" in the top right-hand corner of the page. If it cannot be immediately seen, scroll to the very top of the page to bring it into view.
2. Click ""My Orders"" in the sidebar menu on the left side of the screen. The menu is in a lighter shade of gray for easy distinction from the rest of the page content.
3. Scroll through the table listing your orders. Each row corresponds to a distinct order, sorted by date. Initially, the order placed on January 29, 2023, might not be visible. To locate it, navigate to the pagination controls located directly below the order table. These controls include a ""next page"" button, represented by a rightward arrow icon. Click on this button as many times as needed to advance through the pages until the order dated January 29, 2023, appears. This action is essential for sifting through your order history when the target order is not immediately visible on the first page.
4. Click the ""View Order"" link within the ""Action"" column of the row of the order we are interested in.
5. Scroll through the order view to reviewing and identify all home decoration items in the order, calculating the sum of the total amount spent on these items. This involves adding up the price of each home decoration item. The sum of these prices will give you the total amount spent on home decoration shopping for the order placed on January 29, 2023.","Element Specification: The SOP provides specific locations and descriptions for each UI element, such as 'blue text ""My Account"" at the top of the page' and 'My Orders tab in the light gray column on the leftmost side of the page' (1). Action Type: The SOP uses appropriate action verbs like 'Click', 'Scroll', and 'Add', which are all valid according to the rubric (1). Edge Case Coverage: The SOP does not address any potential edge cases, such as what to do if the 'My Orders' tab is not visible or if the order from 1/29/2023 is not immediately visible (0). Discrete Action: Each step in the SOP contains only one discrete action, which aligns with the rubric requirements (1). Action Relevance: All actions are relevant to the task of finding out how much was spent on home decoration shopping on a specific date (1). Generality: The SOP does not generalize the task well; it is specific to finding costs on a particular date and does not guide the user on how to perform this task for any date or item category (0).",3.0,"Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'My Account' in the header and 'My Orders' in the vertical navigation menu (1). Action Type: The SOP uses appropriate action verbs like 'Click' and 'Scroll', adhering to the specified action types (1). Edge Case Coverage: The SOP addresses the potential edge case of the order not being visible and instructs to click the 'Next' page button until the order is found (1). Discrete Action: Each step in the SOP contains only one discrete action, ensuring clarity and simplicity in following the instructions (1). Action Relevance: All actions are relevant to the task of finding and viewing a specific order, such as clicking on 'View Order' and scrolling to 'Items Ordered' (1). Generality: The SOP is general enough to apply in various situations without assuming a specific window size or screen, such as instructing to scroll to the bottom or to keep clicking 'Next' until the item is found (1). Overall, the SOP meets all the criteria effectively, warranting a high score.",5.0,"{'0': 3.0, '1': 5.0}"
106 @ 2023-12-30-12-35-44,"Display the list of issues in the umano/AndroidSlidingUpPanel repository that have labels related to BUG
1. Click on the ""Explore"" tab located in the top navigation bar, directly to the right of the ""Starred"" tab. This will direct you to a page where you can search and filter through available repositories.
2. Click in the ""Filter by name"" search box, which you can find in the upper-right corner of the ""Explore"" page. This box is labeled with a placeholder text ""Filter by name,"" suggesting that you can type here to search for specific projects or repositories by their names.
3. Type the repository name into the search box, in this case its ""AndroidSlidingUpPanel"". Ensure that the box is clear of any previous text before you start typing. This step is crucial as it narrows down the search results to include only those repositories that match or closely match the text ""AndroidSlidingUpPanel"".
4. From the list of search results that appear below the search box, locate the repository from the correct user, in this case it is ""Umano: News Read To You / AndroidSlidingUpPanel"". If you do not immediately see this repository, you may need to scroll down through the search results.
5. Click on the ""Issues"" tab located on the left side of the repository's page. This tab is part of a horizontal menu that includes other options like ""Merge Requests"" ""CI/CD"" and ""Deployments"". The ""Issues"" tab will take you to a page listing all the issues associated with the Umano/AndroidSlidingUpPanel repository.
6. Click in the ""Search"" bar at the top of the issues page. This search bar is specifically for filtering and finding issues within the repository. It is typically labeled with placeholder text such as ""is:issue is:open"" or ""Search all issues"".
7. Click the ""Label"" options from the dropdown menu that appears upon clicking the search bar. This action specifies that your upcoming search term should be considered a label attached to issues. In this case we are interested in the BUG label.
8. Click the equals sign ""="" that appears next to the ""Label"" option you just selected. This action sets the search filter to match exactly with the label name you are about to enter, ensuring that only issues with labels that exactly match your search term are displayed.
9. Type ""BUG"" after the equals sign in the search bar. This action is directing the search to filter for issues that are specifically labeled with ""BUG"", which typically indicates issues related to bugs within the project.
10. From the autocomplete suggestions that appear as you type, click on the label that is named ""BUG"". This action ensures that you are selecting the correct label for filtering the issues.
11. Press the ""Enter/Return"" key on your keyboard to submit your search query. This action will filter the list of issues to display only those that have been labeled with ""BUG"". The resulting list of issues that are displayed on the page now specifically includes those in the Umano/AndroidSlidingUpPanel repository that have been tagged with the ""BUG"" label. If the full list of issues is not immediately visible due to the length of the page, scroll to view all the listed issues.","Element Specification: The SOP provides clear descriptions and locations for each UI element, such as 'Explore' tab under the 'Projects' title and 'Filter by name' box in the top right (1). Action Type: The SOP uses appropriate action verbs like Click, Type, and Press, which are all valid according to the rubric (1). Edge Case Coverage: The SOP does not mention any potential edge cases or how to handle them, such as what to do if the 'BUG' label does not appear or if the repository is not found (0). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the rubric's requirements (1). Action Relevance: All actions are relevant to the task of finding issues labeled as BUG in a specific repository (1). Generality: The SOP is generally applicable and does not overfit to specific screen sizes or window configurations, though it could improve by suggesting general navigation tips if items are not immediately visible (0).",4.0,"Element Specification: Each element in the SOP is well described with clear locations, such as 'Explore' tab under the 'Projects' header (1). Action Type: The SOP uses appropriate action verbs like Click, Type, Press, and Scroll (1). Edge Case Coverage: The SOP mentions an edge case in step 5, providing a solution to scroll down if the repository is not visible (1). Discrete Action: The SOP mostly adheres to one action per step, except for steps 8 and 9 where clicking on two dropdown options could be seen as two actions, but they are closely related and necessary for the task (0.5). Action Relevance: All actions are relevant to the task of finding and filtering issues in a repository (1). Generality: The SOP is general enough, not overfitting to specific screen sizes or window configurations (1).",4.75,"{'0': 4.0, '1': 4.75}"
69 @ 2024-01-05-04-25-33,"Among the top 10 post in ""books"" forum, is there any post talks about supporting local book stores? If so, tell me the organizations involved.

1. Click on the “Forums” tab near the top left of the page. The tab is located in the red horizontal bar at the top of the screen and is between the ""Postmill"" and ""Wiki"" tabs.
2. Click on the gray “Alphabetical” tab, located directly below the “Forums” tab your previously clicked. 
3. Click on the red “books” link under the big, bolded letter “B” in the first column of forums displayed. Scroll down to view the rest of the “B” category if necessary the ""books"" link is not visible on the screen.
4. Click on the sorting criteria dropdown menu with the text “Hot” inside it. The dropdown menu is at the right of the gray ""Comments"" button.
5. Click “Top” option in the menu dislayed. The option is the fourth from the top and is above the ""Controversial"" option.
6. Click on the dropdown menu with a clock and the text ""Past 24 hours"" on it. This dropdown menu appeared at the right of the dropdown menu you just interacted with.
7. Click “All time” in the menu displayed. This option is the last one of the menu, and is below the ""Past year"" option.
8. Scroll through the first 10 posts, i.e. the first 10 rows. Each post will have three lines of text. The first one in large black font with the title of the post. The second one starting with the text ""Submitted by"" in gray. The third one in red stating ""X comments"", where X is the number of comments the post received.
9. Return the organizations involved in supporting local bookstores, if any, based on the top 10 posts. Each post is in a separate row. The large text to the right and above the post rating number is the post title, which contains information on the subject of the post, and potentially any organizations involved.
","Element Specification: The SOP provides clear descriptions and locations for UI elements such as 'Forums' button on the red header and 'books' text in the 'B' section, scoring 1. Action Type: The SOP uses appropriate action verbs like Click, Locate, Change, and Scroll, scoring 1. Edge Case Coverage: The SOP does not address any potential edge cases such as what to do if the 'books' forum is not visible or if the posts are not loading, scoring 0. Discrete Action: The SOP mostly adheres to one action per step, but step 4 combines locating and changing a dropdown menu, which should be separated, scoring 0. Action Relevance: All actions are relevant to the task of finding posts about supporting local book stores, scoring 1. Generality: The SOP is generally applicable but does not specify actions like 'scroll down if you cannot see the full list', which could be an issue on different screen sizes, scoring 0.",3.0,"Element Specification: Each element in the SOP is well specified with descriptions and locations, such as 'Forums link located in the red header at the top of the page' (1). Action Type: The SOP uses appropriate action verbs like 'Click' and 'Scroll', which are within the allowed actions (1). Edge Case Coverage: The SOP addresses a potential edge case where the 'books' link might not be visible and instructs to scroll down until the 'B' section appears (1). Discrete Action: Each step in the SOP contains only one discrete action, adhering to the requirement (1). Action Relevance: All actions are relevant to navigating and sorting forum posts, directly contributing to the task of reviewing top posts (1). Generality: The SOP is general and does not overfit to specific screen sizes or window configurations, making it applicable in various scenarios (1).",5.0,"{'0': 3.0, '1': 5.0}"
