demo_name,task_id,orig_sop,new_sop,n_self_reflection,ablation--max_self_reflection_depth,ablation--is_td,ablation--is_act,ablation--is_kf,ablation--model,ablation
116 @ 2024-01-16-09-09-51,116,"Show me the name of the customers who have expressed dissatisfaction with tanks products?
1. Click on the “MARKETING” button in the dark gray column on the left hand side of the page.
2. Click on “All Reviews” in the pop up menu, located under the bolded heading “User Content”.
3. Click into the search box below the column heading “Product”.
4. Type in “tank”.
5. Press enter.
6. Since we have 27 results, which we can see above the “Created” column heading, we will make it easier for us to see all reviews by displaying them all on one page.
7. Click on the items per page drop down button, located above the “Review” column of the review table.
8. Select “30” from the drop down menu.
9. Scroll down through each row of the product table.
10. Return the names of customers dissatisfied with tank products. Each row is a separate review for a product with “tank” in its name. You can find customer names in the “Nickname” column of a given row, and you can find whether a customer is dissatisfied by analyzing the text in the “Title” and “Review” columns of a given row.","Based on the workflow demonstration and the SOP Rubric provided, here is the updated Standard Operating Procedure.

1. **Click** on the link labeled ""MARKETING"" located in the dark gray navigation sidebar on the left side of the screen.
2. **Click** on the text labeled ""All Reviews"" located under the ""User Content"" heading in the pop-up menu that appears.
3. **Click** on the empty text field located directly below the ""Product"" column header in the specific review table.
4. **Type** the text ""tank"" into the selected text field.
5. **Press** the ""Enter"" key on the keyboard to filter the table results.
6. **Click** on the ""per page"" dropdown menu (displaying a number like ""20"") located above the table grid on the right-hand side.
7. **Click** on the number ""30"" in the dropdown list to ensure all results appear on a single page (Edge Case: If the ""Records found"" count adjacent to the dropdown is higher than 30, click a higher number like ""50"" or ""100"" instead).
8. **Scroll** down through the table rows to view the ""Nickname"", ""Title"", and ""Review"" columns to identify customers expressing dissatisfaction.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
117 @ 2023-12-31-23-34-18,117,"What is the date when I made my first purchase on this site?
1. Click on the blue ""My Account"" button on the top right of the screen.
2. On the left gray sidebar, click ""My Orders"".
3. Click the blue number ""4"" that is at the bottom of the page to go to the last page.
4. Look at the date of the last row. This is the date of the first purchase you made on the site.","Based on the observation of the workflow and the requirements of the SOP Rubric, here is the updated Standard Operating Procedure.

1. **Click** on the ""My Account"" link located in the header navigation menu at the top right of the screen.
2. **Click** on the ""My Orders"" link located in the account sidebar menu on the left side of the screen.
3. **Scroll** to the bottom of the ""My Orders"" page to locate the pagination controls under the list of orders. (If the list is short and no pagination is visible, proceed to the next step).
4. **Click** on the text labeled with the highest page number in the pagination controls to navigate to the last page of orders. (If the last page number is not immediately visible, **Click** on the ""Next"" arrow icon until you reach the final page).
5. **Scroll** to the bottom of the order table to view the date listed in the last row, which corresponds to the first purchase made on the site.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
216 @ 2023-12-31-16-12-31,216,"What are the key aspects that the customers don't like about Electra Bra Top?
1. Click on the ""Marketing"" icon on the gray sidebar on the left side of the screen.
2. Click on ""All Reviews"" in the submenu under the ""User Content"" heading.
3. In the empty text box under the ""Product"" column, type in the keyword ""electra"".
4. Press enter to search.
5. Look at the reviews under the ""Review"" column to answer the question.","1. Click on the ""MARKETING"" button located in the sidebar on the left side of the screen.
2. Click on the ""All Reviews"" link under the ""User Content"" section (scroll down the menu if the link is not visible).
3. Click on the text field located directly below the ""Product"" column header (scroll horizontally to the right if the column is not visible).
4. Type the text ""electra"" into the text field.
5. Press the ""Enter"" key on the keyboard.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
127 @ 2024-01-08-19-59-09,127,"What brands appear most frequently among the top search terms?
1. Click on 'REPORTS' in the left sidebar.
2. Click on 'Search Terms' under 'Marketing'.
3. Click on the 'Hits' column heading to sort search terms by hits.
4. Report the most frequently appearing brands from this table.
","Based on the provided screenshots and the SOP Rubric, here is the updated Standard Operating Procedure. 

1. Click on the ""REPORTS"" menu item located in the left-hand sidebar navigation.
2. Click on the ""Search Terms"" link located under the ""Marketing"" section in the Reports menu panel.
3. Click on the ""Hits"" column header located in the ""Search Terms Report"" table to sort the data.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
45 @ 2024-01-08-14-51-24,45,"Check out the most recent open issues
1. Click on 'Issues' in the left sidebar.
2. Click on the 'Created date' dropdown button on the top right.
3. Click on 'Created date' in the dropdown list to sort issues with most recent first.
","1. Click on the **'Issues'** link located in the **left sidebar navigation menu**. (Edge Case: If the text 'Issues' is not visible, ensure the sidebar is expanded or look for the corresponding icon).
2. Click on the **sort dropdown button** (labeled 'Created date' in the demonstration) located in the **toolbar above the issues list**, to the right of the search bar. (Edge Case: The button label reflects the current sort order; if the button is labeled differently, such as 'Updated date', click it to reveal the sorting options).
3. Click on the **'Created date'** option located in the **dropdown menu**.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
171 @ 2023-12-31-01-42-52,171,"Tell me the full names of the repositories where I made contributions and they got less than 5 stars?
1. On the filter menu under the top bar, click on the dropdown on the right of the ""Filter By Name"" box.
2. Click on ""Most Stars"" under the ""Sort By"" sub-menu.
3. Scroll down, and click on the ""Next"" button at the bottom of the list till the end of the list is displayed.
4. From the displayed information, report the full names of the repositories where I made contributions and they got less than 5 stars.","Based on the workflow demonstration and the provided SOP Rubric, here is the improved Standard Operating Procedure. 

The original SOP contained steps with multiple actions (violating the Discrete Action rule), lacked precise element locations for some steps (Element Specification), and included a reporting step that is not a valid UI action (Action Type). The updated SOP resolves these issues.

1. Click on the sort dropdown menu located to the right of the ""Filter by name"" text field.
2. Click on the ""Most stars"" option in the ""Sort by"" dropdown menu.
3. Scroll down to the bottom of the page to view the list of repositories and their star counts.
4. If the list is paginated and the ""Next"" button is visible, click on the ""Next"" button in the pagination controls at the bottom of the page.
5. Scroll down to the bottom of the page to view the remaining repositories.
6. Scroll through the displayed list to identify the names of repositories with less than 5 stars.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
79 @ 2023-12-27-22-50-34,79,"What is the total count of Not Approved reviews amongst all the reviews?
1. Click on the ""Marketing"" icon on the left to reveal the pop-out menu.
2. Click on ""All Reviews"" under the ""User Content"" section on the bottom right of the menu.
3. Click on the dropdown at the top of the fourth column for ""Status"".
4. From the dropdown, click on ""Not Approved"".
5. Click the gray ""Search"" button located at the top left.
6. Given the information, state the total count of Not Approved reviews amongst all the reviews.","Based on the workflow demonstration and the provided rubric, here is the improved Standard Operating Procedure.

1. Click on the ""Marketing"" icon located in the left sidebar navigation menu.
2. Click on the ""All Reviews"" link under the ""User Content"" section of the pop-out menu.
3. Click on the filter input field located in the ""Status"" column of the table header row.
4. Click on the ""Not Approved"" option in the dropdown menu.
5. Click on the ""Search"" button located above the table to apply the filter.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
205 @ 2023-12-30-13-02-59,205,"How many commits did kilian make on 3/5/2023?
1. Click on the ""Commits"" button just underneath the project title.
2. Given the information, state how many commits kilian made on 3/5/2023.","1. Click on the link displaying the number of commits (e.g., ""2,320 Commits"") located immediately below the project title ""a11yproject.com"" in the project header section.
2. Scroll down the list of commits until the section corresponding to the date ""05 Mar, 2023"" is visible.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
131 @ 2024-01-13-06-11-26,131,"What's the total number of items sold in the most recent 7 orders?
1. Click on the “REPORTS” button in the dark gray column on the left hand side of the page.
2. Click on “Orders” in the pop up menu, located under the heading “Sales”.
3. Click into the “From” text field, located on the left side of the page.
4. Type in “1/1/23”.
5. Click into the “To” text field, located directly to the right of the “From” text field.
6. Type in the current date.
7. Click on the orange button “Show Report”, located at the top right of the page.
8. Scroll to the bottom of the page.
9. The sum of numbers in the “Sales Items” column, the third column of the table, for the 8th, 7th, 6th, 5th, 4th, 3rd, and 2nd to last rows is the total number of items sold in the most recent 7 orders.","Based on the provided screenshots and workflow demonstration, here is the improved Standard Operating Procedure.

1. Click on the icon labeled ""REPORTS"" in the sidebar navigation menu on the left side of the screen.
2. Click on the link labeled ""Orders"" located under the ""Sales"" heading in the menu that appears.
    *   *Edge Case:* If the menu closes before you can click ""Orders"", click ""REPORTS"" again to reopen it.
3. Click on the text field labeled ""From"" in the ""Filter"" section on the left side of the page.
4. Type ""1/1/23"" into the ""From"" text field.
5. Click on the text field labeled ""To"" located directly to the right of the ""From"" text field in the ""Filter"" section.
6. Type ""1/13/24"" into the ""To"" text field.
7. Click on the orange button labeled ""Show Report"" located in the top right corner of the page.
    *   *Edge Case:* If the report data does not refresh, ensure the date format matches the placeholder (M/D/YY) and try again.
8. Scroll to the bottom of the page to view the ""Orders Report"" table.
    *   *Edge Case:* If the table is empty, broaden the date range in the ""From"" and ""To"" fields to include more past dates.
9. The total number of items sold in the most recent 7 orders is found by summing the values in the ""Sales Items"" column (3rd column) for the last 7 rows in the table (excluding the final row labeled ""Total"").
    *   *Edge Case:* If the ""Orders"" column (2nd column) displays a value greater than 1 for any row, count rows from the bottom upwards until exactly 7 orders are accounted for, rather than simply selecting 7 rows.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
143 @ 2024-01-08-01-57-37,143,"How much I spent on home decoration shopping during 1/29/2023
1. Click on the blue text ""My Account"" at the top of the page.
2. Click on the ""My Orders"" tab in the light gray column on the leftmost side of the page.
3. Scroll down to the next page button for the order table, located directly below the order table and to the right of the page numbers.
4. Click the next page button.
5. Click the blue text “View Order” in the “Action” column of the row for the order placed on 1/29/2023.
6. Scroll through all order items.
7. Add to the total money spent the cost of items related to home decoration.","Based on the workflow demonstration and the provided rubric, here is the improved Standard Operating Procedure.

1. Click on the link labeled ""My Account"" located in the header at the top right of the page.
2. Click on the link labeled ""My Orders"" located in the vertical navigation menu on the left side of the page.
3. Scroll to the bottom of the ""My Orders"" table to locate the order dated ""1/29/23"".
4. If the order dated ""1/29/23"" is not visible on the current page, Click on the ""Next"" page button (right-facing arrow icon) located directly below the table to the right of the page numbers. (Note: Repeat this step until the order is found).
5. Click on the text labeled ""View Order"" in the ""Action"" column for the row corresponding to the date ""1/29/23"".
6. Scroll down to the ""Items Ordered"" section to view the ""Product Name"" and ""Price"" columns to identify home decoration items and their costs.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
106 @ 2023-12-30-12-35-44,106,"Display the list of issues in the umano/AndroidSlidingUpPanel repository that have labels related to BUG
1. Click the ""Explore"" tab under the bold ""Projects"" title.
2. Click in the ""Filter by name"" box in the top right.
3. Type in the text ""Android"".
4. From the results below, click on the desired repository ""Umano: News Read To You / AndroidSlidingUpPanel"".
5. Click the ""Issues"" tab on the left.
6. Click in the ""Search"" bar at the top of the page.
7. From the dropdown that appears, click on the fourth option ""Label"".
8. Click the equals sign ""="".
9. Type the keyword ""BUG"".
10. From the autocomplete menu click on the red ""BUG"" label.
11. Press the ""Enter/Return"" key to show the results.
12. Thus, the list of issues in the umano/AndroidSlidingUpPanel repository that have labels related to BUG is displayed.","1. Click on the ""Explore"" tab located under the ""Projects"" header.
2. Click on the text field labeled ""Filter by name"" located in the top right corner of the page.
3. Type the text ""Android"" into the ""Filter by name"" text field.
4. Press the ""Enter"" key on the keyboard.
5. Click on the repository link labeled ""Umano: News Read To You / AndroidSlidingUpPanel"". (Edge Case: If the repository is not visible, scroll down the page to find the row containing the order).
6. Click on the ""Issues"" tab located in the sidebar on the left side of the screen.
7. Click on the text field labeled ""Search or filter results..."" located at the top of the main content area.
8. Click on the option labeled ""Label"" in the dropdown menu that appears.
9. Click on the ""="" (equals sign) option in the dropdown menu.
10. Type the text ""BUG"" into the search text field.
11. Click on the red label option labeled ""BUG"" in the dropdown menu.
12. Press the ""Enter"" key on the keyboard.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
69 @ 2024-01-05-04-25-33,69,"Among the top 10 post in ""books"" forum, is there any post talks about supporting local book stores? If so, tell me the organizations involved
1. Click on the ""Forums"" button on the red header on the top of the page
2. Click on the ""Alphabetical"" sub-header at the top-left of the ""List of forums"" page
3. Locate the ""B"" section denoting forums that start with the letter ""B"" and click on the red ""books"" text
4. Locate the dropdown menu at the top of the page labeled ""Hot"" and change it to ""Top"" -- this will reveal another dropdown menu to its right
5. Locate the rightmost dropdown menu at the top of the page labeled ""Past 24 hours"" and change it to ""All time""
6. Scroll down to reveal the information and identify the any posts that talk about supporting local book stores and the corresponding organizations that are mentioned","Based on the provided screenshots and actions, here is the updated Standard Operating Procedure.

1. Click on the ""Forums"" link located in the red header at the top of the page.
2. Click on the ""Alphabetical"" link located in the sub-header above the list of forums.
3. Click on the link labeled ""books"" under the ""B"" section of the forum list. If the ""books"" link is not visible, scroll down the page until the ""B"" section appears.
4. Click on the button labeled ""Hot"" (denoted with up/down arrows) located in the sorting menu above the list of posts.
5. Click on the ""Top"" option in the dropdown menu.
6. Click on the button labeled ""Past 24 hours"" (denoted with a clock icon) located in the sorting menu to the right of the ""Top"" button.
7. Click on the ""All time"" option in the dropdown menu.
8. Scroll down the page to ensure all of the top 10 posts are visible for review.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
0 @ 2023-12-25-15-10-58,0,"What is the top-1 best-selling product in 2022
1. Click the ""Reports"" button on the left to open the menu.
2. Click on ""Bestsellers"", which is located under the ""Products"" section.
3. Click on the arrow to the right of the ""Period"" filter to open the dropdown.
4. From the dropdown, click on the ""Year"" option.
5. Click inside the empty box which is located to the right of the ""From"" filter.
6. Type the first date of 2022, which is ""01/01/2022"".
7. Click inside the empty box which is located to the right of the ""To"" filter.
8. Type the last date of 2022, which is ""12/31/2022"".
9. Click on the orange ""Show Report"" button located at the top right of the page.
10. From the given information, state the top-1 best-selling product in 2022.","1. Click on the ""REPORTS"" menu item located in the left sidebar navigation pane.
2. Click on the ""Bestsellers"" link located under the ""Products"" section in the Reports menu (if the link is not visible, scroll down inside the menu).
3. Click on the ""Period"" dropdown menu located in the ""Filter"" section.
4. Click on the ""Year"" option located in the ""Period"" dropdown menu.
5. Click on the ""From"" date input field located in the ""Filter"" section.
6. Type ""01/01/2022"" into the ""From"" date input field.
7. Click on the ""To"" date input field located in the ""Filter"" section.
8. Type ""12/31/2022"" into the ""To"" date input field.
9. Click on the ""Show Report"" button located in the top right corner of the page.",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
21 @ 2024-01-05-02-16-47,21,"List out reviewers, if exist, who mention about ear cups being small
1. Navigate to the section on the product page that has the orange or white stars and click on the blue ""12 Reviews"" text right next to the stars
2. Scroll down to find the reviews and locate the correct information to answer the question
3. After reaching the end of the page, we see that there are multiple pages -- navigate to the second page by clicking on the blue ""2""
4. Scroll down to find the reviews and locate the correct information to answer the question
","1. Click on the ""12 Reviews"" link located to the right of the star rating in the product header section.
2. Scroll down through the ""Customer Reviews"" section to identify any reviewers mentioning ""ear cups being small"".
3. Click on the ""2"" button in the pagination controls located at the bottom of the ""Customer Reviews"" section. (Edge Case: If the ""2"" button is not visible, Scroll down to the bottom of the page).
4. Scroll through the reviews on the second page to identify any remaining reviewers mentioning ""ear cups being small"".",1,1,True,True,True,gemini-3-pro-preview,1--True--True--True--gemini-3-pro-preview
