sop,demo_name,task_id,ablation--model,ablation--is_pairwise,ablation--is_td,ablation--is_kf,ablation--is_act,ablation
"1. Click on the link labeled 'MARKETING' in the gray sidebar navigation menu on the left side of the screen. This icon resembles a megaphone and is the fifth item from the top.
2. A large menu panel will appear. Click on the text labeled 'All Reviews' located in the center column of the panel under the ""User Content"" heading.
3. On the Reviews page, click on the empty text filter field located directly below the ""Product"" column header in the table.
4. Type the text ""tank"" into the field and press the ""Enter"" key on your keyboard. This will filter the table to show only reviews for products containing ""tank"".
5. Click on the ""per page"" dropdown menu located above the top-right corner of the results table. The dropdown initially displays the number ""20"".
6. Select the option ""30"" from the dropdown list. This refreshes the table to display all 27 found records on a single page.
7. Scroll down the page to view the rows at the bottom of the list. Locate the review in the row with ID ""123"", where the customer ""Dominic"" has written a review titled ""Unflattering"", indicating dissatisfaction.",116 @ 2024-01-16-09-09-51,116,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1.  Click on the ""My Account"" link located in the header menu at the top right of the page. It is positioned between the search icon and the ""My Wish List"" link.
2.  On the resulting dashboard page, locate the navigation sidebar on the left-hand side. Click on the ""My Orders"" link, which is the second item listed under the ""My Account"" section header.
3.  Scroll down to the bottom of the ""My Orders"" list to find the pagination controls on the right-hand side. Click on the number ""4"" (representing the last page of the order history) in the pagination sequence to view the oldest orders placed on the site.",117 @ 2023-12-31-23-34-18,117,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow presented:

1. Click on the **MARKETING** icon (represented by a megaphone) located in the main navigation sidebar on the far left side of the screen.
2. In the ""Marketing"" flyout menu that appears, locate the ""User Content"" section and click on the **All Reviews** link.
3. Once the ""Reviews"" page loads, locate the filter row at the top of the reviews data grid. Click into the empty text input field positioned directly below the **Product** column header.
4. Type the text ""electra"" into this specific filter field.
5. Press the **Enter** key on your keyboard to apply the filter. The table will refresh to display only the reviews associated with products matching the search term ""electra"" (e.g., Electra Bra Top).",216 @ 2023-12-31-16-12-31,216,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1.  Navigate to the main sidebar menu located on the far left side of the screen. Click on the **REPORTS** menu item, which is represented by a bar chart icon and is located between ""CONTENT"" and ""STORES"".
2.  A large flyout menu labeled ""Reports"" will appear. Look for the ""Marketing"" column on the far left of this panel. Click on the **Search Terms** link, which is the second option listed under the ""Marketing"" header.
3.  You will be redirected to the ""Search Terms Report"" page, which displays a grid of search queries. Click on the column header labeled **Hits** located on the far right side of the table header row to sort the search terms by the number of times they have been searched.",127 @ 2024-01-08-19-59-09,127,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the provided screenshots and actions, here is the Standard Operating Procedure (SOP) for checking out the most recent open issues in Gitlab:

1.  Navigate to the Issues list by clicking on the **Issues** link located in the primary navigation sidebar on the left side of the screen. This link is situated underneath the ""Repository"" section and contains a badge indicating the number of issues (e.g., ""42"").
2.  Once on the Issues page, locate the sorting controls positioned above the list of issues, to the right of the search and filter bar. Click on the dropdown button labeled **Created date** to open the menu of sorting options.
3.  From the dropdown menu that appears, click on the **Created date** option. This ensures that the list of open issues is sorted chronologically by when they were created, displaying the most recent issues according to the selected sort direction.",45 @ 2024-01-08-14-51-24,45,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"1. On the ""Projects"" dashboard page, click the sorting dropdown menu located on the far right of the toolbar, adjacent to the ""Filter by name"" input field. The dropdown currently displays the text ""Most stars"".
2. From the expanded dropdown list of sorting options, click on ""Most stars"" to confirm the sort order. This organizes the projects list by the number of stars in descending order.
3. Scroll down the page to bypass the repositories with higher star counts and view the list of projects further down.
4. Upon reaching the bottom of the first page, click the ""Next"" button in the pagination controls located at the bottom center of the screen to view the next page of results.
5. Scroll down the second page of results to view the remaining repositories. Identify the repositories listed here (displaying names in the format `Group / Project Name`) that show a star count of less than 5 on the right side of their respective rows.",171 @ 2023-12-31-01-42-52,171,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1. Click on the ""MARKETING"" tab located in the vertical navigation sidebar on the far left of the screen. The icon looks like a megaphone.
2. A menu will slide out to the right. Locate the ""User Content"" subheading and click on the ""All Reviews"" link listed beneath it.
3. On the Reviews page, locate the filter row at the top of the grid (immediately below the column headers). Click the dropdown menu located in the ""Status"" column.
4. From the list of options that appears (""Approved"", ""Pending"", ""Not Approved""), click on ""Not Approved"".
5. Click the ""Search"" button located above the grid on the left-hand side (to the left of the ""Reset Filter"" link) to apply the filter.
6. Read the total count of records displayed above the table on the left side (e.g., ""0 records found"") to determine the number of Not Approved reviews.",79 @ 2023-12-27-22-50-34,79,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"1. From the main project dashboard, locate the horizontal statistics menu beneath the project title ""a11yproject.com"" and the Project ID. Click on the link labeled **2,320 Commits**, which is situated on the far left of this menu, directly next to the ""15 Branches"" link.
2. The browser will navigate to the ""Commits"" page, displaying a chronological list of repository changes. Scan the list to find the header for **05 Mar, 2023** to observe the commits made by ""Kilian"" on that date.",205 @ 2023-12-30-13-02-59,205,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the provided screenshots and actions, here is the Standard Operating Procedure (SOP) for the workflow ""What's the total number of items sold in the most recent 7 orders?"".

1.  Navigate to the **Reports** menu. With the report category overlay open, locate the **Sales** column (the second column from the left). Click on the link labeled **Orders**.
2.  The **Orders Report** page will load. Locate the **Filter** section in the middle of the page. Click inside the date entry field labeled **From \***.
3.  Type the start date `1/1/23` into the **From** field.
4.  Click inside the date entry field labeled **To \***, which is located directly below the ""From"" field.
5.  Type the end date `1/13/24` into the **To** field.
6.  Click the orange button labeled **Show Report**. This button is located in the top-right corner of the settings bar (labeled ""Scope: All Websites""), just above the yellow information banners.
7.  The page will refresh with the report data. Scroll down the page until the data table is visible to view the list of orders and sales statistics within the specified date range.",131 @ 2024-01-13-06-11-26,131,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the ""Generic e-commerce site"" workflow:

1. Navigate to the top-right corner of the site header. Click on the **My Account** link located between ""My Wish List"" and ""Sign Out"".
2. You will be redirected to the account dashboard. In the sidebar menu on the left side of the screen, click on the **My Orders** link located under the ""My Account"" heading.
3. A list of recent orders will appear. Scroll down to the bottom of the page to reveal the pagination controls beneath the list of orders.
4. Click on the **>** (Next Page) arrow icon located in the pagination box to the right of the page numbers to navigate to the second page of order history.
5. On the second page, scroll down to the bottom of the list again to access the pagination controls.
6. Click on the **>** (Next Page) arrow icon once more to navigate to the third page of order history.
7. Locate the order in the table with the date **1/29/23** (Order # 000000148). Click on the **View Order** link in the ""Action"" column on the far right side of that row.
8. On the ""Order # 000000148"" details page, scroll down past the list of items ordered (Topiary Trees and Speakers) to view the pricing breakdown at the bottom right of the table.
9. Locate the **Grand Total** field to determine the total amount spent ($440.64) for that date.",143 @ 2024-01-08-01-57-37,143,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"1. Click on the ""Explore"" tab located in the secondary navigation menu near the top of the page, between ""Starred"" and ""Topics"".
2. Click on the text input field labeled ""Filter by name"" located on the right side of the project filter bar.
3. Type the string ""Android"" into the ""Filter by name"" text field.
4. Locate the repository named ""Umano: News Read To You / AndroidSlidingUpPanel"" in the search results list and click on the bold project name ""AndroidSlidingUpPanel"".
5. Click on the ""Issues"" link located in the left-hand sidebar navigation menu, under the ""Repository"" section (if collapsed) or near the top of the menu options.
6. Click on the main search bar labeled ""Search or filter results..."" located at the top of the issues list.
7. Click on the ""Label"" option from the dropdown menu that appears below the search bar.
8. Click on the ""="" option (which represents ""is"") in the small operator popup menu.
9. Type ""BUG"" into the search input field to filter the specific labels.
10. Click on the red ""BUG"" label option from the dropdown list of available labels.
11. Press the ""Enter"" key on the keyboard to apply the filter and display the results.",106 @ 2023-12-30-12-35-44,106,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the screenshots and actions provided, here is the Standard Operating Procedure (SOP) for the workflow:

1. Click on the ""Forums"" link located in the red navigation bar at the top of the page, situated between the site logo and the ""Wiki"" link.
2. Click on the ""Alphabetical"" tab located in the secondary menu bar, positioned between the ""Tags"" and ""Submissions"" tabs, to sort the list of forums alphabetically.
3. Locate the section for the letter ""B"" in the forum list and click on the link labeled ""books"" to navigate to the specific forum.
4. Click on the sorting dropdown button labeled ""Hot"" (indicated by up and down arrows), located in the toolbar directly above the list of submissions.
5. Select the ""Top"" option from the dropdown menu that appears to change the sorting method.
6. Click on the time filter dropdown button labeled ""Past 24 hours"" (indicated by a clock icon), located immediately to the right of the ""Top"" button.
7. Select the ""All time"" option from the dropdown menu to view the top posts of all time.
8. Scroll down the page to review the list of submissions, moving past the initial posts to see further down the ranking list.",69 @ 2024-01-05-04-25-33,69,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow demonstrated in the screenshots:

1. Click on the ""REPORTS"" tab located in the main navigation sidebar on the left side of the screen. The tab is represented by a bar chart icon and sits between ""CONTENT"" and ""STORES"".
2. In the large ""Reports"" menu overlay that appears, navigate to the ""Products"" column and click on the ""Bestsellers"" link.
3. On the ""Bestsellers Report"" page, locate the ""Filter"" section and click on the ""Period"" dropdown menu, which is set to ""Day"" by default.
4. Select ""Year"" from the dropdown list options to set the reporting interval.
5. Click on the text input field labeled ""From *"" to activate it for data entry.
6. Type the date ""01/01/2022"" into the ""From"" field to set the start date of the report range.
7. Click on the text input field labeled ""To *"" to activate it for data entry.
8. Type the date ""12/31/2022"" into the ""To"" field to set the end date of the report range.
9. Click the orange ""Show Report"" button located in the upper-right corner of the page header area to generate the report based on the entered parameters.",0 @ 2023-12-25-15-10-58,0,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow based on the provided screenshots and actions:

1.  On the product main page, click the ""12 Reviews"" link. This text is colored blue and is located in the product summary section, immediately to the right of the orange star rating and to the left of the ""Add Your Review"" link.
2.  Once the page navigates to the ""Customer Reviews"" section, scroll down the page to read through the available reviews. Continue scrolling past the initial reviews (by Jenna Kaufman, Joseph Brzezinski, etc.) to view the reviews further down the list.
3.  Navigate to the bottom of the review list where the pagination controls are located. Click on the number ""2"" in the pagination box to load the next page of customer reviews.",21 @ 2024-01-05-02-16-47,21,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow ""Get the total payment amount of the last 5 completed orders"" based on the provided demonstration.

1.  Click on the **SALES** menu item located in the vertical navigation sidebar on the left side of the screen. The icon resembles a dollar sign.
2.  A sub-menu will appear to the right of the sidebar. Click on the text labeled **Orders** to open the order management grid.
3.  Click on the **Filters** button located in the toolbar above the grid, directly to the right of the ""Search by keyword"" input field. This will expand the filter options panel.
4.  In the filter panel, locate the **Status** field on the far right. Click on the dropdown input box to view the available statuses.
5.  From the dropdown list that appears, click on the option labeled **Complete**.
6.  Click on the **Apply Filters** button located at the bottom right corner of the expanded filter panel to refresh the grid with the selected status.
7.  Click on the **Purchase Date** column header in the grid. This initially sorts the orders by date in ascending order (oldest to newest).
8.  Click on the **Purchase Date** column header a second time. This toggles the sort order to descending (newest to oldest), ensuring the most recent orders appear at the top of the list.
9.  Scroll down the grid view slightly to reveal the full details of the top 5 rows. Identify the values in the ""Grand Total (Purchased)"" column for these rows to determine the payment amounts.",194 @ 2024-01-13-06-23-00,194,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow demonstrated in the screenshots:

1.  Navigate to the main menu sidebar on the far left of the screen and click on the **CATALOG** tab (represented by an open box icon), located below the ""SALES"" tab.
2.  In the sub-menu that expands to the right of the sidebar, click on the **Products** link to access the product inventory grid.
3.  Locate the toolbar above the product grid and click on the **Filters** button, which features a funnel icon and is positioned to the right of the search bar.
4.  The filter configuration panel will expand below the toolbar. Find the section labeled **Quantity** (located in the second column of filters) and click inside the text box labeled **from**.
5.  Type the number **3** into the ""from"" text box.
6.  Click inside the text box labeled **to**, which is located immediately to the right of the ""from"" box within the **Quantity** section.
7.  Type the number **3** into the ""to"" text box.
8.  Press the **Enter** key on your keyboard to apply the filters. The product grid will refresh to display only the items with exactly 3 units in stock.",185 @ 2023-12-28-17-09-28,185,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the workflow demonstrated in the screenshots:

1. Click on the search bar located at the top right of the page header. The search bar contains the placeholder text ""Search entire store here..."" and is situated to the left of the shopping cart icon.
2. Type the text ""Nintendo Switch game card storage"" into the active search field.
3. Press the ""Enter"" key on your keyboard to submit the search query.
4. Once the search results page loads, scroll down slightly to reveal the grid of products listed under the heading ""Search results for: 'Nintendo Switch game card storage'"".
5. Click on the link for the first product in the results list, titled ""Game Card Holder Storage Case for Nintendo Switch Games or PS Vita Game Case or SD Memory Cards, Black"". This item is listed with a price of $11.99 and shows an image of a black storage case.
6. On the product details page, scroll down past the main product image and pricing information to view the ""Product Description"" section, which details the capacity and features of the case.",162 @ 2024-01-08-02-53-13,162,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1. Click on the ""Issues"" icon located in the global navigation bar at the top right of the screen. The icon resembles a small document or box with a notification count badge (e.g., 13) next to it.
2. Click on the ""All"" tab located above the search bar on the Issues Dashboard. This tab is situated between ""Closed"" and the RSS feed button and displays the total count of issues (e.g., 66).
3. Click inside the search input field located directly below the status tabs (Open/Closed/All). The field currently contains a filter token for ""Assignee = Byte Blaze"".
4. Type the phrase ""homepage content"" into the search input field.
5. Press the ""Enter"" key on your keyboard to execute the search and filter the list of issues.
6. Click on the title of the issue labeled ""Rethink the homepage's content"". It should be the first item listed in the search results. This will open the detailed view for that specific issue to verify its status.",177 @ 2023-12-28-09-18-21,177,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"1. Click on the ""REPORTS"" icon located in the sidebar menu on the left side of the screen.
2. In the flyout menu that appears, locate the ""Customers"" column and click on the ""Order Count"" link.
3. On the Order Count Report page, click the calendar icon located inside the ""From"" date input field to open the date picker.
4. In the date picker popup, click on the month dropdown menu (which shows the current month) in the header.
5. Select ""Jan"" from the dropdown list of months.
6. Click on the year dropdown menu (which shows the current year) located to the right of the month dropdown in the date picker header.
7. Scroll up within the year dropdown list to find the earliest available year (e.g., 1923), then click on ""1923"" to select it.
8. Click on ""1"" in the calendar grid to set the start date to January 1st, 1923.
9. Click the calendar icon located inside the ""To"" date input field.
10. Click on the current date (e.g., ""27"") in the calendar grid to set the end date.
11. Click on the ""Show By"" dropdown menu, which is located to the right of the date fields and currently displays ""Day"".
12. Select ""Year"" from the dropdown options.
13. Click the grey ""Refresh"" button located to the right of the ""Show By"" dropdown.
14. The report will load with a list of years. Scroll down to the bottom of the page to find the section containing customer data. The customer with the most orders will be listed at the top of this data section (e.g., Jane Smith).",62 @ 2023-12-26-23-59-25,62,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the observed workflow:

1. Navigate to the main navigation sidebar on the far left of the screen and click on the **SALES** menu item, which is represented by a dollar sign icon located below the ""DASHBOARD"" icon.
2. A secondary menu panel titled ""Sales"" will slide out to the right of the main navigation bar. Click on the **Invoices** link located near the top of this sub-menu.
3. The ""Invoices"" page will load displaying a data grid. Locate the row containing Invoice ""000000001"" (in the first row). Look across to the column labeled ""Grand Total (Purchased)"" to identify the total amount (shown as $36.39).",94 @ 2024-01-08-18-24-10,94,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the ""Top-3 Best-Selling Products in Jan 2023"" workflow:

1. Click on the ""REPORTS"" menu item located in the black vertical navigation sidebar on the left side of the screen. The icon resembles a bar graph.
2. A large ""Reports"" menu overlay will appear. Locate the ""Products"" column in the center of the menu and click on the ""Bestsellers"" link.
3. On the ""Bestsellers Report"" page, go to the ""Filter"" section and click on the ""Period"" dropdown menu, which is initially set to ""Day"".
4. From the dropdown list options that appear, click on ""Month"".
5. Click on the text input field labeled ""From"" within the Filter section.
6. Type the start date `01/01/2023` into the ""From"" field.
7. Click on the text input field labeled ""To"" located directly below the ""From"" field.
8. Type the end date `01/31/2023` into the ""To"" field.
9. Click the orange button labeled ""Show Report"" located in the top-right corner of the page content area.
10. Scroll down the page to view the generated data table. Identify the top 3 items listed in the ""Product"" column (e.g., Overnight Duffle, Hawkeye Yoga Short-32-Blue, Impulse Duffle).",4 @ 2023-12-25-17-18-04,4,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Here is the Standard Operating Procedure (SOP) for the ""Check out my todos"" workflow in Gitlab:

1. Click on the ""To-Do List"" icon located in the global navigation bar at the top right of the screen. The icon is represented by a square containing a checkmark and is situated to the right of the ""Merge requests"" icon (represented by a branch symbol with a count of 10) and to the left of the ""Help"" icon (represented by a question mark). In the screenshot, the icon has a blue badge indicating ""14"" items.
2. Upon navigating to the ""To-Do List"" page, scroll down the page to review the items in the list. This action reveals additional notifications and tasks assigned to you that are located further down the page.",44 @ 2024-01-05-03-59-01,44,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
"Based on the provided screenshots and actions, here is the Standard Operating Procedure (SOP) for the workflow:

1.  Click on the search bar labeled ""Search GitLab"" located in the dark blue navigation header at the top of the page.
2.  Type the string ""a11yproject"" into the search field.
3.  Press the ""Enter"" key on your keyboard to submit the search query.
4.  On the search results page, click on the project title labeled ""The A11Y Project / a11yproject.com"". It is the first result listed, displayed in bold text next to a grey square logo containing the letter ""A"".
5.  On the project repository page, click on the link labeled ""2,320 Commits"". This link is located in the repository statistics row, directly underneath the project ID and to the left of the ""15 Branches"" link.
6.  The commit history page will load. Scroll down the page until you locate the section header ""02 Mar, 2023 3 commits"" to view the relevant data.",133 @ 2024-01-14-06-02-33,133,gemini-3-pro-preview,False,True,True,True,gemini-3-pro-preview--False--True--True--True
